Isolate_Id	Amikacin (AMI)	Meropenem (MER)	Levofloxacin	Colistin (COL or CST)	Cefepime (FEP)	Piperacillin	Polymyxin B	Fosfomycin	Chloramphenicol	Ciprofloxacin (CIP)	Ticarcillin (TIC)	Piperacillin/tazobactam (PIP/TZ)	Ceftazidime (CAZ)	Ceftolozane/tazobactam (TOL/TZ)	AztreoNAm (ATM) 	Imipenem (IMI)	Tobramycin (TOB)	Doripenem	Gentamicin
WH-SGI-V-07316	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07317	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07318	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07320	R	R	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07322	R	R	NA	S	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07323	R	R	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07324	R	S	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07325	R	I	NA	S	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07326	S	S	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07327	R	R	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07328	S	S	NA	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07329	R	R	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07330	S	S	NA	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS959	R	R	NA	S	R	NA	S	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS960	R	R	NA	NA	R	NA	S	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS961	R	R	NA	S	R	NA	S	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS962	R	R	NA	S	R	NA	S	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS963	I	R	NA	S	R	NA	S	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS964	R	R	NA	S	R	NA	S	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS965	R	R	NA	S	R	NA	S	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS966	R	R	NA	S	R	NA	S	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS967	R	R	NA	S	R	NA	S	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS968	R	R	NA	S	R	NA	S	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS969	R	R	NA	S	R	NA	S	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA
01-002	S	R	NA	S	I	NA	NA	NA	NA	R	R	I	I	S	I	R	R	NA	NA
01-009	S	R	NA	S	S	NA	NA	NA	NA	R	I	I	S	S	S	R	R	NA	NA
04-025	S	R	NA	S	I	NA	NA	NA	NA	R	R	R	R	S	I	R	R	NA	NA
04-024	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	I	R	R	NA	NA
06-028	S	R	NA	S	I	NA	NA	NA	NA	R	R	R	R	S	I	R	R	NA	NA
06-036	S	R	NA	S	I	NA	NA	NA	NA	R	R	I	I	S	I	R	R	NA	NA
07-002	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	R	S	R	R	NA	NA
07-016	S	R	NA	S	I	NA	NA	NA	NA	R	R	R	R	R	I	R	R	NA	NA
15-001	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	I	R	R	R	NA	NA
15-002	I	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	R	NA	NA
10-001	S	R	NA	S	I	NA	NA	NA	NA	R	R	R	R	S	I	R	R	NA	NA
10-023	S	R	NA	S	I	NA	NA	NA	NA	R	R	R	R	S	I	R	R	NA	NA
03-002	S	R	NA	S	I	NA	NA	NA	NA	R	R	I	I	S	I	R	R	NA	NA
03-005	S	R	NA	S	I	NA	NA	NA	NA	R	R	I	I	S	I	R	R	NA	NA
12-012	S	R	NA	S	I	NA	NA	NA	NA	R	R	I	I	R	S	R	R	NA	NA
12-017	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	I	R	R	NA	NA
09-001	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	R	S	R	R	NA	NA
09-012	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	I	R	R	R	NA	NA
04-008	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	I	S	I	R	R	NA	NA
12-001	S	R	NA	R	R	NA	NA	NA	NA	R	R	R	R	S	I	R	S	NA	NA
12-014	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
12-018	S	R	NA	S	S	NA	NA	NA	NA	R	I	I	I	S	S	R	S	NA	NA
12-003	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
12-005	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
06-026	S	R	NA	S	R	NA	NA	NA	NA	I	R	R	R	I	R	R	R	NA	NA
06-042	R	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	R	R	R	R	NA	NA
07-001	I	R	NA	R	R	NA	NA	NA	NA	R	R	I	R	R	S	R	R	NA	NA
07-004	R	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	R	R	R	R	NA	NA
07-017	I	R	NA	S	R	NA	NA	NA	NA	R	R	I	R	R	I	R	R	NA	NA
04-017	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	I	R	R	R	NA	NA
10-009	I	R	NA	R	R	NA	NA	NA	NA	R	R	R	R	R	R	R	R	NA	NA
01-001	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	R	S	R	S	NA	NA
01-008	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	R	S	R	S	NA	NA
09-007	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
09-013	S	R	NA	S	R	NA	NA	NA	NA	I	R	R	R	S	R	R	S	NA	NA
06-035	S	R	NA	S	R	NA	NA	NA	NA	S	R	I	R	S	R	R	S	NA	NA
06-014	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	I	S	I	R	I	NA	NA
09-011	R	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	I	R	R	R	NA	NA
10-017	S	R	NA	S	S	NA	NA	NA	NA	R	I	I	R	S	R	R	R	NA	NA
10-019	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	I	R	R	S	NA	NA
10-021	S	R	NA	S	R	NA	NA	NA	NA	S	R	R	R	I	R	R	S	NA	NA
06-025	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
06-027	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
06-001	S	R	NA	S	R	NA	NA	NA	NA	R	R	R	R	S	R	R	S	NA	NA
229	S	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	S	R	S
230	R	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	S	R	R	R	R
231	S	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	R	R
232	S	R	NA	R	S	NA	NA	NA	NA	S	NA	I	S	NA	S	R	S	S	S
233	S	R	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	R	R	S	R	S
234	S	R	NA	R	S	NA	NA	NA	NA	S	NA	S	S	NA	S	R	S	S	S
235	R	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	R	R
236	S	S	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	R	R	S	R
237	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	S	R	S	S	S
238	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	S	S	S	S	S
239	R	R	R	R	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	R	R
240	I	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	R	R
241	I	R	NA	R	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	S	R
242	I	I	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	S	R	R	I	R
243	I	R	R	S	R	NA	NA	NA	NA	R	NA	R	I	NA	S	R	R	R	R
244	S	R	NA	R	I	NA	NA	NA	NA	R	NA	R	S	NA	R	R	S	S	R
245	R	R	NA	R	R	NA	NA	NA	NA	R	NA	R	R	NA	R	I	I	S	R
246	R	R	NA	R	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	S	R
247	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	S	R	S	S	S
248	R	R	NA	R	R	NA	NA	NA	NA	R	NA	I	R	NA	S	R	R	S	I
249	R	R	NA	R	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	S	R
250	R	R	NA	R	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	R	S	R
251	S	S	R	S	I	NA	NA	NA	NA	R	NA	I	S	NA	R	S	S	S	S
252	S	I	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	R	S	S	R	S
253	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	I	NA	I	S	S	S	S
254	R	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	S	R	R	R	R
255	R	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	I	R	R	R	R
256	S	S	NA	S	S	NA	NA	NA	NA	S	NA	I	S	NA	S	S	S	S	S
257	S	I	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	S	S	S	S
258	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	S	S	S	S	S
259	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	S	S	S	S	S
260	R	R	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	S	R	I	I
261	S	S	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	S	S	S	I
262	S	S	S	S	S	NA	NA	NA	NA	S	NA	S	S	NA	S	S	S	S	S
263	S	S	S	S	S	NA	NA	NA	NA	I	NA	S	S	NA	S	S	S	S	I
264	S	S	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	R	S	S	S
265	S	R	R	S	S	NA	NA	NA	NA	R	NA	S	I	NA	S	R	R	R	R
266	S	R	R	S	I	NA	NA	NA	NA	R	NA	I	I	NA	S	R	R	R	R
267	S	NA	R	S	I	NA	NA	NA	NA	S	NA	R	S	NA	S	S	I	R	S
268	S	R	R	S	R	NA	NA	NA	NA	R	NA	R	R	NA	R	R	S	R	S
269	S	I	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	R	S	S	S
270	S	S	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	R	S	S	S
271	S	R	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	I	R	R	I	R
272	S	S	R	S	S	NA	NA	NA	NA	R	NA	S	S	NA	S	R	R	S	R
PAS1	S	R	NA	R	NA	NA	NA	NA	NA	R	NA	I	R	NA	R	R	NA	NA	R
PAS2	I	R	NA	R	NA	NA	NA	NA	NA	R	NA	I	R	NA	R	R	NA	NA	R
PAS3	I	R	NA	S	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	S	NA	NA	R
PAS4	R	S	NA	S	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	S	NA	NA	R
PAS5	R	R	NA	S	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	S	NA	NA	R
PAS6	I	S	NA	I	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	S	NA	NA	R
PAS7	I	R	NA	I	NA	NA	NA	NA	NA	R	NA	S	R	NA	R	R	NA	NA	R
PAS8	R	S	NA	S	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	S	NA	NA	R
PAS9	R	S	NA	R	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	S	NA	NA	R
PAS10	R	R	NA	I	NA	NA	NA	NA	NA	R	NA	R	R	NA	R	R	NA	NA	R
